Date,Item,Quantity,Customer
5/4/2021,160117-099,2,Customer 2
5/4/2021,FREIGHTCROWN,2,Customer 2
5/4/2021,141102-099,13,Customer 2
5/4/2021,FREIGHTCROWN,13,Customer 2
5/3/2021,4821466,1,Customer 6
5/3/2021,4821468,1,Customer 6
5/4/2021,141102-099,7,Customer 2
5/4/2021,FREIGHTCROWN,7,Customer 2
5/4/2021,144569-099,1,Customer 2
5/4/2021,FREIGHTCROWN,1,Customer 2
5/4/2021,141103-099,4,Customer 2
5/4/2021,FREIGHTCROWN,4,Customer 2
5/4/2021,152627-099,1,Customer 2
5/3/2021,1001176490J,1,Customer 1
5/3/2021,1001208662,1,Customer 1
5/3/2021,1001208663,3,Customer 1
5/3/2021,1001208664,9,Customer 1
5/3/2021,1001246922,4,Customer 1
5/3/2021,1220108P019,1,Customer 1
5/3/2021,1001208664,3,Customer 1
5/3/2021,1001163064P136,3,Customer 1
5/3/2021,1001187809P136,2,Customer 1
5/3/2021,1220093P136,1,Customer 1
5/3/2021,1220032,1,Customer 1
5/3/2021,1220032P032,1,Customer 1
5/7/2021,C8817149,1,Customer 3
5/7/2021,C8817151,1,Customer 3
5/7/2021,C8813412,5,Customer 3
5/7/2021,C8808753,19,Customer 3
5/7/2021,C8821921,2,Customer 3
5/7/2021,C8821991,7,Customer 3
5/7/2021,C8821992,4,Customer 3
5/7/2021,C8817150,10,Customer 3
5/7/2021,C8813412,7,Customer 3
5/7/2021,C8808753,12,Customer 3
5/7/2021,C8821921,2,Customer 3
5/7/2021,C8821991,4,Customer 3
5/7/2021,C8821992,2,Customer 3
5/7/2021,C8817150,2,Customer 3
5/7/2021,C8817151,4,Customer 3
5/7/2021,C8817152,2,Customer 3
5/7/2021,C8539358,1,Customer 3
5/7/2021,C8813412,1,Customer 3
5/7/2021,C8808753,18,Customer 3
5/7/2021,C8821921,1,Customer 3
5/7/2021,C8821991,1,Customer 3
5/7/2021,C8821992,4,Customer 3
5/6/2021,T370531,35,Customer 4
5/6/2021,T401552,8,Customer 4
5/7/2021,T355727,6,Customer 4
5/7/2021,T424338,90,Customer 4
5/7/2021,T379736,9,Customer 4
5/7/2021,T379787,3,Customer 4
5/7/2021,T379788,6,Customer 4
5/7/2021,T379789,3,Customer 4
5/7/2021,T397537,86,Customer 4
5/3/2021,T282429,16,Customer 4
5/6/2021,T318683,32,Customer 4
5/4/2021,T379736,9,Customer 4
5/4/2021,T379789,12,Customer 4
5/4/2021,T281544,8,Customer 4
5/5/2021,T401552,32,Customer 4
5/5/2021,T379787,15,Customer 4
5/5/2021,T379736,3,Customer 4
5/5/2021,T379788,3,Customer 4
5/5/2021,T430160,12,Customer 4
5/5/2021,T430163,36,Customer 4
5/5/2021,T271191,120,Customer 4
5/5/2021,T281544,16,Customer 4
5/5/2021,T282429,8,Customer 4
5/5/2021,T278657,12,Customer 4
5/10/2021,T397537,50,Customer 4
5/6/2021,T281544,8,Customer 4
5/6/2021,T430163,24,Customer 4
5/6/2021,T343927,2,Customer 4
5/6/2021,T365472,1,Customer 4
5/7/2021,T311379,32,Customer 4
5/7/2021,T401552,48,Customer 4
5/7/2021,T379736,3,Customer 4
5/7/2021,T374916,3,Customer 4
5/7/2021,T379788,18,Customer 4
5/7/2021,T430163,24,Customer 4
5/7/2021,T416442,20,Customer 4
